Linha ,Medida,Valor,,,,,,,,,,
5,8,6.5,,,,,,,,,,
5,9,3,,,,,,,,,,
5,10,7.5,,,,,,,,,,
5,11,6.5,,,,,,,,,,
5,12,1,,,,,,,,,,
5,13,7.2,,,,,,,,,,
5,14,6,,,,,,,,,,
5,15,4,,,,,,,,,,
5,16,7.5,,,,,,,,,,
5,17,2,,,,,,,,,,
5,18,8.5,,,,,,,,,,
5,19,8,,,,,,,,,,
5,20,5.5,,,,,,,,,,
5,21,2,,,,,,,,,,
5,22,6.5,,,,,,,,,,
5,23,8,,,,,,,,,,
5,24,8.5,,,,,,,,,,
5,25,8,,,,,,,,,,
5,26,7.9,,,,,,,,,,
5,27,8.5,,,,,,,,,,
5,28,7.6,,,,,,,,,,
5,29,5.4,,,,,,,,,,
5,30,7,,,,,,,,,,
5,31,8.5,,,,,,,,,,
6,1,5,,,,,,,,,,
6,2,7,,,,,,,,,,
6,3,0,,,,,,,,,,
6,4,6.5,,,,,,,,,,
6,5,7,,,,,,,,,,
6,6,7.1,,,,,,,,,,
6,7,7.1,,,,,,,,,,
6,8,7,,,,,,,,,,
6,9,6.5,,,,,,,,,,
6,10,6.8,,,,,,,,,,
6,11,7.5,,,,,,,,,,
6,12,6.5,,,,,,,,,,
6,13,7,,,,,,,,,,
6,14,8,,,,,,,,,,
6,15,8,,,,,,,,,,
6,16,7,,,,,,,,,,
6,17,4.5,,,,,,,,,,
6,18,8.5,,,,,,,,,,
6,19,8,,,,,,,,,,
6,20,8,,,,,,,,,,
6,21,8,,,,,,,,,,
6,22,8,,,,,,,,,,
6,23,7.5,,,,,,,,,,
6,24,7.5,,,,,,,,,,
6,25,8,,,,,,,,,,
6,26,8,,,,,,,,,,
6,27,8.5,,,,,,,,,,
6,28,8,,,,,,,,,,
6,29,8,,,,,,,,,,
6,30,8,,,,,,,,,,
6,31,8,,,,,,,,,,
7,1,6.5,,,,,,,,,,
7,2,1,,,,,,,,,,
7,3,6.5,,,,,,,,,,
7,4,6.5,,,,,,,,,,
7,5,6.5,,,,,,,,,,
7,6,6.9,,,,,,,,,,
7,7,6.8,,,,,,,,,,
7,8,7,,,,,,,,,,
7,9,5.7,,,,,,,,,,
7,10,7,,,,,,,,,,
7,11,2.5,,,,,,,,,,
7,12,7,,,,,,,,,,
7,13,6.8,,,,,,,,,,
7,14,2.5,,,,,,,,,,
7,15,2,,,,,,,,,,
7,16,8,,,,,,,,,,
7,17,7.5,,,,,,,,,,
7,18,4.5,,,,,,,,,,
7,19,1,,,,,,,,,,
7,20,4,,,,,,,,,,
7,21,8,,,,,,,,,,
7,22,8.3,,,,,,,,,,
7,23,8.2,,,,,,,,,,
7,24,8,,,,,,,,,,
7,25,6,,,,,,,,,,
7,26,8,,,,,,,,,,
7,27,8.1,,,,,,,,,,
7,28,7,,,,,,,,,,
7,29,8.3,,,,,,,,,,
7,30,7.4,,,,,,,,,,
7,31,8.1,,,,,,,,,,
8,1,6,,,,,,,,,,
8,2,7,,,,,,,,,,
8,3,7,,,,,,,,,,
8,4,7,,,,,,,,,,
8,5,3.5,,,,,,,,,,
8,6,7,,,,,,,,,,
8,7,7,,,,,,,,,,
8,8,7.5,,,,,,,,,,
8,9,6.5,,,,,,,,,,
8,10,6.5,,,,,,,,,,
8,11,6.8,,,,,,,,,,
8,12,7,,,,,,,,,,
8,13,7,,,,,,,,,,
8,14,8,,,,,,,,,,
8,15,8,,,,,,,,,,
8,16,8,,,,,,,,,,
8,17,8.1,,,,,,,,,,
8,18,8.5,,,,,,,,,,
8,19,7.6,,,,,,,,,,
8,20,8,,,,,,,,,,
8,21,8,,,,,,,,,,
8,22,8.5,,,,,,,,,,
8,23,7.5,,,,,,,,,,
8,24,8,,,,,,,,,,
8,25,8,,,,,,,,,,
8,26,9,,,,,,,,,,
8,27,4.7,,,,,,,,,,
8,28,0.5,,,,,,,,,,
8,29,8.9,,,,,,,,,,
8,30,8.5,,,,,,,,,,
8,31,3,,,,,,,,,,
,,,,,,,,,,,,
,,1.69,,,,,,,,,,
,,6.81,,,,,,,,,,
,,,,,,,,,,,,
,,75.16%,,,,,,,,,,
,,,,,,,,,,,,
,,13.31,,,,,,,,,,
